treat	econ_hard	depress1	sex	age	occp	marital	nonwhite	educ	income	job_seek	depress2	mastery	treat_num	job_dich	job_disc
1	3.0	1.91	1	34.16712	1	2	1	5	5	4.8333335	1.7272727	4.677778	1.0	1.0	4.0
1	4.67	1.18	0	26.624657	4	1	1	4	2	5.0	1.0	4.866667	1.0	1.0	4.0
1	4.33	2.9	1	37.852055	3	4	1	3	1	4.5	3.0	3.775	1.0	1.0	4.0
1	3.67	1.36	0	26.10137	6	1	0	3	2	3.8333333	2.0	3.7777777	1.0	0.0	3.0
1	4.0	2.09	1	35.02192	6	1	1	3	3	4.5	2.1818182	4.016667	1.0	1.0	4.0
0	2.33	1.45	0	27.48767	2	2	0	4	3	3.6666667	1.5454545	3.7638888	0.0	0.0	3.0
1	5.0	1.64	1	39.33151	3	2	1	3	1	5.0	1.0909091	4.75	1.0	1.0	4.0
1	1.33	1.73	1	31.610958	3	3	1	2	3	2.5	2.3636363	2.825	1.0	0.0	2.0
0	3.0	1.64	1	28.021917	3	4	0	3	2	5.0	2.1818182	4.1916666	0.0	1.0	4.0
1	4.0	2.45	0	41.12055	5	1	0	2	3	3.5	2.6363637	3.5916667	1.0	0.0	3.0
0	3.67	2.73	0	39.457535	6	2	0	1	2	3.1666667	2.7272727	3.038889	0.0	0.0	2.0
1	3.0	1.55	0	40.438354	2	2	0	2	5	4.0	1.1818181	3.7333333	1.0	1.0	3.0
0	3.33	2.45	1	51.065754	4	2	0	5	5	4.3333335	1.4545455	3.9194446	0.0	1.0	3.0
0	5.0	1.0	1	25.613699	3	1	1	4	1	4.6666665	1.0	4.422222	0.0	1.0	4.0
0	4.0	2.73	1	49.147945	1	2	0	3	2	4.3333335	3.0	3.9027777	0.0	1.0	3.0
0	1.33	1.27	1	30.619179	1	1	1	5	2	3.6666667	1.6363636	3.738889	0.0	0.0	3.0
1	3.0	1.64	0	33.345207	5	3	1	2	3	3.3333333	1.6363636	3.6861112	1.0	0.0	2.0
1	1.67	2.09	1	49.29863	3	2	0	5	5	3.0	2.1818182	3.35	1.0	0.0	2.0
1	2.33	2.45	0	44.10411	2	2	0	4	5	4.6666665	2.0	3.9805555	1.0	1.0	4.0
1	1.33	1.64	1	76.87671	4	2	0	2	3	3.0	1.7272727	3.5	1.0	0.0	2.0
1	4.67	2.82	1	35.33151	2	2	1	3	3	4.1666665	2.4	3.7805555	1.0	1.0	3.0
1	3.33	1.73	1	55.10137	7	2	1	2	2	4.5	1.0	4.3	1.0	1.0	4.0
1	2.67	1.91	1	25.958904	6	1	0	3	1	2.0	1.7272727	3.2333333	1.0	0.0	1.0
1	3.0	1.45	0	27.668493	1	1	1	4	3	3.6666667	1.6363636	3.8555555	1.0	0.0	3.0
1	4.67	2.45	1	26.29863	2	1	0	3	2	4.3333335	2.6363637	3.4444444	1.0	1.0	3.0
1	3.0	1.82	0	24.915068	4	1	1	3	1	3.3333333	2.4545455	3.6277778	1.0	0.0	2.0
1	1.67	1.27	0	29.591782	5	1	1	4	2	4.0	1.7272727	3.8166666	1.0	1.0	3.0
1	4.0	1.73	0	28.715069	7	3	1	2	1	4.0	1.0	4.233333	1.0	1.0	3.0
1	3.67	2.73	1	42.049316	3	1	0	2	2	4.3333335	1.9090909	3.5777779	1.0	1.0	3.0
1	3.0	2.09	1	39.676712	7	4	0	3	1	4.3333335	1.4545455	4.361111	1.0	1.0	3.0
0	2.0	1.73	1	18.273973	4	1	1	2	3	4.8333335	3.1818182	3.8611112	0.0	1.0	4.0
0	3.0	1.82	1	23.317808	3	1	1	3	1	2.5	1.7272727	3.2083333	0.0	0.0	2.0
1	2.67	2.8	1	45.432877	1	3	1	4	2	5.0	1.5454545	4.2	1.0	1.0	4.0
0	4.33	2.36	0	39.61096	3	1	0	3	2	4.1666665	1.9090909	4.0046296	0.0	1.0	3.0
1	3.67	1.73	0	36.241096	5	4	0	3	3	2.8333333	1.3636364	3.4277778	1.0	0.0	2.0
0	2.33	1.91	1	38.89041	7	1	0	3	1	3.6666667	1.1818181	3.6722221	0.0	0.0	3.0
